Date,Flow
1/01/2013,16.98
2/01/2013,15.88
3/01/2013,15.15
4/01/2013,14.83
5/01/2013,13.99
6/01/2013,13.48
7/01/2013,13.7
8/01/2013,13.2
9/01/2013,12.98
10/01/2013,12.64
11/01/2013,12.16
12/01/2013,12.71
13/01/2013,11.82
14/01/2013,11.63
15/01/2013,12.16
16/01/2013,13.7
17/01/2013,11.89
18/01/2013,12.77
19/01/2013,11.69
20/01/2013,11.37
21/01/2013,11.18
22/01/2013,11.18
23/01/2013,10.86
24/01/2013,10.8
25/01/2013,10.8
26/01/2013,10.61
27/01/2013,10.49
28/01/2013,10.37
29/01/2013,10.13
30/01/2013,10.19
31/01/2013,9.89
1/02/2013,9.77
2/02/2013,9.65
3/02/2013,9.54
4/02/2013,9.42
5/02/2013,19.94
6/02/2013,13.27
7/02/2013,11.18
8/02/2013,10.55
9/02/2013,10.31
10/02/2013,10.31
11/02/2013,9.77
12/02/2013,9.48
13/02/2013,9.6
14/02/2013,9.6
15/02/2013,9.09
16/02/2013,9.09
17/02/2013,8.98
18/02/2013,8.76
19/02/2013,8.76
20/02/2013,8.6
21/02/2013,8.54
22/02/2013,8.28
23/02/2013,8.44
24/02/2013,8.49
25/02/2013,8.17
26/02/2013,8.12
27/02/2013,8.02
28/02/2013,8.02
1/03/2013,8.02
2/03/2013,7.96
3/03/2013,7.91
4/03/2013,7.96
5/03/2013,7.76
6/03/2013,7.81
7/03/2013,7.55
8/03/2013,7.6
9/03/2013,7.5
10/03/2013,7.5
11/03/2013,7.17
12/03/2013,7.12
13/03/2013,7.4
14/03/2013,7.35
15/03/2013,7.31
16/03/2013,7.22
17/03/2013,7.17
18/03/2013,10.07
19/03/2013,11.5
20/03/2013,10.86
21/03/2013,9.14
22/03/2013,8.28
23/03/2013,7.96
24/03/2013,7.76
25/03/2013,7.81
26/03/2013,7.6
27/03/2013,7.55
28/03/2013,7.35
29/03/2013,7.35
30/03/2013,7.17
31/03/2013,7.22
1/04/2013,7.35
2/04/2013,7.31
3/04/2013,7.12
4/04/2013,7.86
5/04/2013,9.48
6/04/2013,7.71
7/04/2013,7.63
8/04/2013,7.31
9/04/2013,7.22
10/04/2013,7.45
11/04/2013,7.17
12/04/2013,7.03
13/04/2013,6.95
14/04/2013,6.9
15/04/2013,6.81
16/04/2013,7.45
17/04/2013,11.24
18/04/2013,24.36
19/04/2013,12.05
20/04/2013,11.16
21/04/2013,15.94
22/04/2013,21.67
23/04/2013,17.16
24/04/2013,14.68
25/04/2013,14.1
26/04/2013,14.6
27/04/2013,13.07
28/04/2013,12.3
29/04/2013,11.63
30/04/2013,11.11
1/05/2013,11.01
2/05/2013,10.74
3/05/2013,10.54
4/05/2013,10.35
5/05/2013,10.48
6/05/2013,15.42
7/05/2013,36.94
8/05/2013,20.5
9/05/2013,17.14
10/05/2013,15.57
11/05/2013,14.61
12/05/2013,13.83
13/05/2013,13.47
14/05/2013,13.12
15/05/2013,12.9
16/05/2013,12.56
17/05/2013,12.35
18/05/2013,18.71
19/05/2013,17.03
20/05/2013,21.23
21/05/2013,17.54
22/05/2013,16.54
23/05/2013,16.82
24/05/2013,18.81
25/05/2013,17.4
26/05/2013,71.15
27/05/2013,32.81
28/05/2013,26.54
29/05/2013,22.61
30/05/2013,20.63
31/05/2013,19.38
1/06/2013,18.55
2/06/2013,17.84
3/06/2013,17.37
4/06/2013,16.77
5/06/2013,36.24
6/06/2013,24.98
7/06/2013,23.37
8/06/2013,21.69
9/06/2013,20.76
10/06/2013,21.59
11/06/2013,22.73
12/06/2013,24.05
13/06/2013,23.09
14/06/2013,22
15/06/2013,20.86
16/06/2013,20.49
17/06/2013,69.43
18/06/2013,59.64
19/06/2013,65.95
20/06/2013,67.34
21/06/2013,55.11
22/06/2013,43.84
23/06/2013,36.93
24/06/2013,31.35
25/06/2013,28.52
26/06/2013,26.22
27/06/2013,24.62
28/06/2013,23.92
29/06/2013,22.62
30/06/2013,21.8
1/07/2013,21.28
2/07/2013,20.68
3/07/2013,20.11
4/07/2013,20.39
5/07/2013,19.54
6/07/2013,19.4
7/07/2013,19.12
8/07/2013,18.79
9/07/2013,18.32
10/07/2013,18.92
11/07/2013,79.51
12/07/2013,58.9
13/07/2013,48.3
14/07/2013,77.18
15/07/2013,64.92
16/07/2013,50.12
17/07/2013,40.96
18/07/2013,35.15
19/07/2013,31.89
20/07/2013,29.45
21/07/2013,27.93
22/07/2013,26.7
23/07/2013,25.65
24/07/2013,24.78
25/07/2013,24.62
26/07/2013,23.46
27/07/2013,22.4
28/07/2013,21.65
29/07/2013,20.91
30/07/2013,20.32
31/07/2013,19.96
1/08/2013,19.54
2/08/2013,19.19
3/08/2013,21.95
4/08/2013,25.33
5/08/2013,23.38
6/08/2013,21.57
7/08/2013,20.68
8/08/2013,20.25
9/08/2013,19.54
10/08/2013,19.06
11/08/2013,24.94
12/08/2013,23.54
13/08/2013,21.65
14/08/2013,21.5
15/08/2013,20.61
16/08/2013,19.96
17/08/2013,20.32
18/08/2013,21.57
19/08/2013,23
20/08/2013,24.62
21/08/2013,23
22/08/2013,26.05
23/08/2013,32
24/08/2013,28.02
25/08/2013,26.22
26/08/2013,25.02
27/08/2013,23.69
28/08/2013,22.7
29/08/2013,22.32
30/08/2013,27.44
31/08/2013,29.28
1/09/2013,35.29
2/09/2013,39.06
3/09/2013,36.93
4/09/2013,33.82
5/09/2013,42.16
6/09/2013,32.62
7/09/2013,31.24
8/09/2013,29.37
9/09/2013,27.36
10/09/2013,25.73
11/09/2013,24.23
12/09/2013,128.58
13/09/2013,82.03
14/09/2013,63.38
15/09/2013,51.3
16/09/2013,43.99
17/09/2013,38.2
18/09/2013,33.56
19/09/2013,30.32
20/09/2013,38.34
21/09/2013,47.97
22/09/2013,81.67
23/09/2013,87.31
24/09/2013,73.1
25/09/2013,127.42
26/09/2013,107.28
27/09/2013,91.56
28/09/2013,78.07
29/09/2013,66.64
30/09/2013,59.27
1/10/2013,54.76
2/10/2013,46.67
3/10/2013,42.01
4/10/2013,37.07
5/10/2013,33.69
6/10/2013,30.49
7/10/2013,29.11
8/10/2013,27.85
9/10/2013,31.78
10/10/2013,29.54
11/10/2013,27.85
12/10/2013,68.91
13/10/2013,47
14/10/2013,38.2
15/10/2013,52.84
16/10/2013,105.6
17/10/2013,78.5
18/10/2013,63.21
19/10/2013,52.74
20/10/2013,47.22
21/10/2013,41.56
22/10/2013,37.16
23/10/2013,34
24/10/2013,31.99
25/10/2013,28.37
26/10/2013,34.44
27/10/2013,26.49
28/10/2013,24.82
29/10/2013,25.17
30/10/2013,22.41
31/10/2013,20.47
1/11/2013,23.91
2/11/2013,20.56
3/11/2013,19.15
4/11/2013,18.46
5/11/2013,17.94
6/11/2013,17.78
7/11/2013,19.98
8/11/2013,24.59
9/11/2013,19.06
10/11/2013,18.46
11/11/2013,17.61
12/11/2013,17.03
13/11/2013,17.11
14/11/2013,16.86
15/11/2013,17.19
16/11/2013,16.61
17/11/2013,16.37
18/11/2013,16.29
19/11/2013,16.95
20/11/2013,17.11
21/11/2013,17.61
22/11/2013,16.86
23/11/2013,17.36
24/11/2013,16.22
25/11/2013,15.93
26/11/2013,15.53
27/11/2013,23.8
28/11/2013,46.05
29/11/2013,52.21
30/11/2013,34
1/12/2013,32.84
2/12/2013,25.17
3/12/2013,22.1
4/12/2013,20.07
5/12/2013,24.7
6/12/2013,58.79
7/12/2013,42.34
8/12/2013,35.48
9/12/2013,31.44
10/12/2013,27.11
11/12/2013,24.02
12/12/2013,22.3
13/12/2013,20.37
14/12/2013,19.98
15/12/2013,18.98
16/12/2013,19.33
17/12/2013,18.03
18/12/2013,18.46
19/12/2013,17.69
20/12/2013,17.78
21/12/2013,17.28
22/12/2013,16.69
23/12/2013,16.45
24/12/2013,15.93
25/12/2013,16.69
26/12/2013,16.14
27/12/2013,15.8
28/12/2013,16.37
29/12/2013,15.4
30/12/2013,17.52
31/12/2013,17.03
1/01/2014,15.34
2/01/2014,14.69
3/01/2014,14.11
4/01/2014,14.87
5/01/2014,14.45
6/01/2014,19.88
7/01/2014,16.61
8/01/2014,16.14
9/01/2014,14.98
10/01/2014,15.47
11/01/2014,14.11
12/01/2014,13.77
13/01/2014,13.2
14/01/2014,13.26
15/01/2014,12.71
16/01/2014,12.38
17/01/2014,12.16
18/01/2014,11.89
19/01/2014,11.63
20/01/2014,11.28
21/01/2014,15.87
22/01/2014,15.4
23/01/2014,12.65
24/01/2014,11.84
25/01/2014,11.52
26/01/2014,11.04
27/01/2014,13.26
28/01/2014,11.43
29/01/2014,11.23
30/01/2014,10.8
31/01/2014,10.56
1/02/2014,13.09
2/02/2014,13.04
3/02/2014,11.23
4/02/2014,10.7
5/02/2014,10.51
6/02/2014,10.04
7/02/2014,10.04
8/02/2014,12.93
9/02/2014,20.27
10/02/2014,17.69
11/02/2014,15.8
12/02/2014,14.28
13/02/2014,12.87
14/02/2014,12.27
15/02/2014,11.73
16/02/2014,11.28
17/02/2014,11.04
18/02/2014,11.26
19/02/2014,10.89
20/02/2014,10.65
21/02/2014,10.34
22/02/2014,10.22
23/02/2014,9.95
24/02/2014,9.41
25/02/2014,9.53
26/02/2014,9.3
27/02/2014,9.49
28/02/2014,9.17
1/03/2014,8.02
2/03/2014,7.21
3/03/2014,6.84
4/03/2014,7.13
5/03/2014,6.14
6/03/2014,6.17
7/03/2014,5.9
8/03/2014,5.87
9/03/2014,5.83
10/03/2014,5.9
11/03/2014,5.68
12/03/2014,9.52
13/03/2014,9.49
14/03/2014,9.29
15/03/2014,9.59
16/03/2014,9.35
17/03/2014,9.52
18/03/2014,9.59
19/03/2014,10.7
20/03/2014,9.81
21/03/2014,9.21
22/03/2014,8.63
23/03/2014,10.32
24/03/2014,9.21
25/03/2014,10.18
26/03/2014,8.99
27/03/2014,6.06
28/03/2014,5.64
29/03/2014,5.68
30/03/2014,5.52
31/03/2014,5.64
1/04/2014,5.3
2/04/2014,5.3
3/04/2014,5.19
4/04/2014,5.04
5/04/2014,5.08
6/04/2014,5.11
7/04/2014,5.94
8/04/2014,17.1
9/04/2014,95.33
10/04/2014,36.45
11/04/2014,43.23
12/04/2014,77.21
13/04/2014,40.34
14/04/2014,30.37
15/04/2014,26.63
16/04/2014,25
17/04/2014,29.37
18/04/2014,96.42
19/04/2014,77.39
20/04/2014,65.63
21/04/2014,56.32
22/04/2014,44.77
23/04/2014,37.07
24/04/2014,32.35
25/04/2014,29.76
26/04/2014,28.69
27/04/2014,27.37
28/04/2014,30.94
29/04/2014,32.35
30/04/2014,31.34
1/05/2014,28.98
2/05/2014,27.65
3/05/2014,26.63
4/05/2014,25.62
5/05/2014,24.91
6/05/2014,30.64
7/05/2014,26.81
8/05/2014,29.47
9/05/2014,29.56
10/05/2014,28.41
11/05/2014,27.37
12/05/2014,26.26
13/05/2014,25.27
14/05/2014,25
15/05/2014,24.57
16/05/2014,24.33
17/05/2014,23.44
18/05/2014,22.49
19/05/2014,21.94
20/05/2014,21.32
21/05/2014,20.94
22/05/2014,20.56
23/05/2014,19.96
24/05/2014,20.71
25/05/2014,40.35
26/05/2014,25.81
27/05/2014,24.33
28/05/2014,22.96
29/05/2014,22.25
30/05/2014,25.53
31/05/2014,24.66
1/06/2014,23.12
2/06/2014,22.41
3/06/2014,21.78
4/06/2014,21.78
5/06/2014,21.09
6/06/2014,20.71
7/06/2014,20.04
8/06/2014,19.59
9/06/2014,19.81
10/06/2014,20.26
11/06/2014,75.51
12/06/2014,155.07
13/06/2014,134.34
14/06/2014,105.44
15/06/2014,81.59
16/06/2014,63.36
17/06/2014,68.13
18/06/2014,54.93
19/06/2014,47.07
20/06/2014,40.6
21/06/2014,35.01
22/06/2014,32.25
23/06/2014,28.98
24/06/2014,26.72
25/06/2014,25.63
26/06/2014,50.42
27/06/2014,46.76
28/06/2014,43.92
29/06/2014,36.45
30/06/2014,32.86
1/07/2014,92.98
2/07/2014,75.72
3/07/2014,63.92
4/07/2014,54.25
5/07/2014,45.52
6/07/2014,39.19
7/07/2014,33.48
8/07/2014,30.34
9/07/2014,27.93
10/07/2014,27.84
11/07/2014,25.81
12/07/2014,25.72
13/07/2014,41.23
14/07/2014,33.94
15/07/2014,29.27
16/07/2014,26.91
17/07/2014,26.45
18/07/2014,25
19/07/2014,24.49
20/07/2014,25.44
21/07/2014,25.81
22/07/2014,24.74
23/07/2014,24.25
24/07/2014,23.84
25/07/2014,23.52
26/07/2014,23.2
27/07/2014,22.64
28/07/2014,22.25
29/07/2014,21.63
30/07/2014,22.48
31/07/2014,21.78
1/08/2014,21.01
2/08/2014,23.68
3/08/2014,132.45
4/08/2014,100.7
5/08/2014,91.19
6/08/2014,76.27
7/08/2014,64.86
8/08/2014,63.92
9/08/2014,51.57
10/08/2014,45.06
11/08/2014,40.73
12/08/2014,76.46
13/08/2014,67.17
14/08/2014,57.9
15/08/2014,52.74
16/08/2014,47.07
17/08/2014,42.03
18/08/2014,38.18
19/08/2014,34.42
20/08/2014,44.91
21/08/2014,51.57
22/08/2014,43.37
23/08/2014,39.06
24/08/2014,35.96
25/08/2014,32.97
26/08/2014,31.04
27/08/2014,29.37
28/08/2014,28.03
29/08/2014,26.91
30/08/2014,26.17
31/08/2014,25.81
1/09/2014,25.53
