Date,Flow
1/01/2017,0
2/01/2017,3.21
3/01/2017,3.63
4/01/2017,6.51
5/01/2017,4.44
6/01/2017,3.74
7/01/2017,0
8/01/2017,0
9/01/2017,0
10/01/2017,0
11/01/2017,0.05
12/01/2017,0.05
13/01/2017,3.72
14/01/2017,0.1
15/01/2017,0
16/01/2017,0
17/01/2017,0
18/01/2017,3.43
19/01/2017,3.74
20/01/2017,4.18
21/01/2017,3.61
22/01/2017,12.97
23/01/2017,12.11
24/01/2017,7.9
25/01/2017,6.31
26/01/2017,6.03
27/01/2017,5.3
28/01/2017,4.85
29/01/2017,4.41
30/01/2017,4.12
31/01/2017,3.88
1/02/2017,3.7
2/02/2017,3.74
3/02/2017,4.56
4/02/2017,3.49
5/02/2017,3.36
6/02/2017,3.23
7/02/2017,3.11
8/02/2017,3.61
9/02/2017,3.04
10/02/2017,2.88
11/02/2017,2.84
12/02/2017,2.74
13/02/2017,3.38
14/02/2017,3.09
15/02/2017,2.78
16/02/2017,2.72
17/02/2017,35.93
18/02/2017,27.16
19/02/2017,23.93
20/02/2017,33.19
21/02/2017,18.49
22/02/2017,12
23/02/2017,9.23
24/02/2017,7.66
25/02/2017,6.48
26/02/2017,5.8
27/02/2017,5.26
28/02/2017,4.85
1/03/2017,4.63
2/03/2017,4.38
3/03/2017,4.15
4/03/2017,3.99
5/03/2017,3.76
6/03/2017,3.61
7/03/2017,3.58
8/03/2017,4.85
9/03/2017,3.45
10/03/2017,3.36
11/03/2017,21.29
12/03/2017,12.11
13/03/2017,9.37
14/03/2017,7.38
15/03/2017,6.45
16/03/2017,5.86
17/03/2017,5.48
18/03/2017,5.02
19/03/2017,4.79
20/03/2017,4.5
21/03/2017,4.18
22/03/2017,3.99
23/03/2017,3.88
24/03/2017,3.74
25/03/2017,3.63
26/03/2017,3.52
27/03/2017,5.62
28/03/2017,4.79
29/03/2017,4.35
30/03/2017,14.3
31/03/2017,8.86
1/04/2017,7.22
2/04/2017,6.36
3/04/2017,6.06
4/04/2017,13.28
5/04/2017,115.09
6/04/2017,77.93
7/04/2017,34.96
8/04/2017,20.1
