Date,Flow
1/01/2013,2.74
2/01/2013,2.68
3/01/2013,2.7
4/01/2013,2.55
5/01/2013,2.49
6/01/2013,2.45
7/01/2013,2.41
8/01/2013,2.38
9/01/2013,2.34
10/01/2013,2.31
11/01/2013,2.29
12/01/2013,2.26
13/01/2013,2.25
14/01/2013,2.26
15/01/2013,2.25
16/01/2013,2.28
17/01/2013,2.22
18/01/2013,2.22
19/01/2013,2.19
20/01/2013,2.17
21/01/2013,2.14
22/01/2013,2.13
23/01/2013,2.11
24/01/2013,2.1
25/01/2013,2.09
26/01/2013,2.06
27/01/2013,2.04
28/01/2013,2.03
29/01/2013,2.03
30/01/2013,2.01
31/01/2013,2
1/02/2013,1.99
2/02/2013,1.98
3/02/2013,1.96
4/02/2013,1.97
5/02/2013,2.32
6/02/2013,1.99
7/02/2013,1.96
8/02/2013,1.94
9/02/2013,1.92
10/02/2013,1.91
11/02/2013,1.89
12/02/2013,1.89
13/02/2013,1.88
14/02/2013,1.87
15/02/2013,1.86
16/02/2013,1.84
17/02/2013,1.84
18/02/2013,1.82
19/02/2013,1.82
20/02/2013,1.8
21/02/2013,1.79
22/02/2013,1.78
23/02/2013,1.77
24/02/2013,1.76
25/02/2013,1.75
26/02/2013,1.74
27/02/2013,1.75
28/02/2013,1.74
1/03/2013,1.73
2/03/2013,1.73
3/03/2013,1.72
4/03/2013,1.72
5/03/2013,1.71
6/03/2013,1.7
7/03/2013,1.7
8/03/2013,1.69
9/03/2013,1.69
10/03/2013,1.69
11/03/2013,1.68
12/03/2013,1.67
13/03/2013,1.67
14/03/2013,1.67
15/03/2013,1.66
16/03/2013,1.66
17/03/2013,1.66
18/03/2013,1.79
19/03/2013,1.78
20/03/2013,1.7
21/03/2013,1.67
22/03/2013,1.66
23/03/2013,1.66
24/03/2013,1.65
25/03/2013,1.64
26/03/2013,1.64
27/03/2013,1.64
28/03/2013,1.63
29/03/2013,1.63
30/03/2013,1.63
31/03/2013,1.63
1/04/2013,1.64
2/04/2013,1.63
3/04/2013,1.62
4/04/2013,1.79
5/04/2013,2.05
6/04/2013,2.01
7/04/2013,1.97
8/04/2013,1.96
9/04/2013,1.96
10/04/2013,1.96
11/04/2013,1.95
12/04/2013,1.93
13/04/2013,1.92
14/04/2013,1.91
15/04/2013,1.9
16/04/2013,2.02
17/04/2013,2.63
18/04/2013,2.66
19/04/2013,2.17
20/04/2013,2.22
21/04/2013,2.85
22/04/2013,2.92
23/04/2013,2.5
24/04/2013,2.82
25/04/2013,3.27
26/04/2013,2.66
27/04/2013,2.51
28/04/2013,2.32
29/04/2013,2.2
30/04/2013,2.15
1/05/2013,2.1
2/05/2013,2.05
3/05/2013,2.01
4/05/2013,1.99
5/05/2013,2.02
6/05/2013,2.74
7/05/2013,2.55
8/05/2013,2.32
9/05/2013,2.22
10/05/2013,2.15
11/05/2013,2.08
12/05/2013,2.01
13/05/2013,1.97
14/05/2013,1.93
15/05/2013,1.91
16/05/2013,1.87
17/05/2013,1.86
18/05/2013,2.35
19/05/2013,2.49
20/05/2013,2.46
21/05/2013,2.26
22/05/2013,2.46
23/05/2013,2.77
24/05/2013,2.69
25/05/2013,2.54
26/05/2013,4.11
27/05/2013,3.44
28/05/2013,3.18
29/05/2013,2.88
30/05/2013,2.68
31/05/2013,2.55
1/06/2013,2.45
2/06/2013,2.36
3/06/2013,2.28
4/06/2013,2.22
5/06/2013,2.84
6/06/2013,2.49
7/06/2013,2.39
8/06/2013,2.32
9/06/2013,2.44
10/06/2013,2.41
11/06/2013,2.36
12/06/2013,2.31
13/06/2013,2.24
14/06/2013,2.19
15/06/2013,2.15
16/06/2013,2.28
17/06/2013,3.37
18/06/2013,3.61
19/06/2013,3.82
20/06/2013,4.29
21/06/2013,4.16
22/06/2013,3.84
23/06/2013,3.6
24/06/2013,3.4
25/06/2013,3.24
26/06/2013,3.08
27/06/2013,2.97
28/06/2013,2.86
29/06/2013,2.76
30/06/2013,2.69
1/07/2013,2.61
2/07/2013,2.55
3/07/2013,2.54
4/07/2013,2.65
5/07/2013,2.47
6/07/2013,2.44
7/07/2013,2.4
8/07/2013,2.36
9/07/2013,2.33
10/07/2013,2.41
11/07/2013,3.07
12/07/2013,2.8
13/07/2013,2.79
14/07/2013,2.85
15/07/2013,2.74
16/07/2013,2.65
17/07/2013,2.59
18/07/2013,2.54
19/07/2013,2.49
20/07/2013,2.45
